OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea,orientation,street_width,second_type
12424,1974,3,6,18.1,0.8169014084507042,0.129562775772162,18
13925,1973,6,6,1392.53,0.1126760563380281,0.3428265810937291,5
14450,1959,3,6,1640.72,0.6901408450704225,0.0815617061104425,19
15027,1992,3,6,3719.22,0.7183098591549296,0.6694745286803048,18
16917,1898,3,6,764.3,0.0704225352112676,0.0990105629094798,18
16934,1919,12,6,566.48,0.8309859154929577,0.0171145875116994,18
16945,1995,3,6,2255.7,0.5492957746478874,0.1139858269822168,18
16994,2016,3,6,1694.62,0.4507042253521127,0.0599010562909479,19
17616,1954,3,6,117.72,0.1830985915492957,0.0654499264607567,18
19148,1940,3,6,537.5,0.1830985915492957,0.0512769086776307,18
19376,1983,18,6,1126.71,0.3380281690140845,0.2416098408878192,74
19467,1900,6,6,348.61,0.352112676056338,0.1105094263939029,9
21794,1992,9,6,979.58,0.1267605633802817,0.2950260730044123,9
21951,2003,3,6,2297.27,0.4647887323943662,0.0,18
23669,2010,3,6,2849.59,0.5915492957746479,0.0,1
24202,1880,3,6,1549.65,0.2957746478873239,0.0474662388019788,74
29171,1975,3,6,330.56,0.5633802816901409,0.4655702634041984,18
29696,2000,3,6,13907.26,0.971830985915493,0.0,18
29731,1995,3,6,659.12,0.7183098591549296,0.0947987698890225,9
30527,1996,9,6,2396.95,0.6197183098591549,0.2895440566920711,9
30535,1989,6,6,228.33,0.7464788732394366,0.1073004412354592,18
31573,1990,3,6,743.82,0.5352112676056338,0.3237063778580024,18
32467,1986,3,6,647.24,0.2253521126760563,0.0988100013370771,18
32475,1988,3,6,230.96,0.1971830985915492,0.1000133707714935,18
32497,1970,3,6,353.65,0.7323943661971831,0.1007487632036368,18
32500,1988,3,6,282.47,0.2112676056338028,0.099144270624415,18
32982,1940,3,6,1672.87,0.4647887323943662,0.0987431474796095,74
33398,1972,3,6,689.52,0.7183098591549296,0.0996791014841556,18
34769,1983,3,6,81.13,0.2394366197183098,0.6587110576280251,19
35780,2017,3,6,3179.27,0.2112676056338028,0.3945046129161652,6
36194,1989,3,6,446.0,0.704225352112676,0.438828720417168,18
